product_name,product_link,product_price(₹),product_ratings(out of 5),product_description,sub-category,Category,product_ids,comment_ids
Blow Me – Birthday Surprise,https://www.bookthesurprise.com/blow-me-birthday-surprise/,1099.0,5.0,A box with a balloon inside that your loved one should pop to receive an birthday note,blow-me-exciting-balloon-wish-cards,Balloon-Surprises,17702,comment-10560
Blow Me – Say Miss You,https://www.bookthesurprise.com/surprise/blow-me-say-miss-you/,1099.0,5.0,A box with a balloon inside that your loved one should pop to receive a miss you note,blow-me-exciting-balloon-wish-cards,Balloon-Surprises,17707,comment-10561
Blow Me – I love You Gift,https://www.bookthesurprise.com/blow-me-i-love-you-gift/,1099.0,5.0,A box with a balloon inside that your loved one should pop to receive a I love you note,blow-me-exciting-balloon-wish-cards,Balloon-Surprises,17712,comment-10562
Blow Me – Send Congratulations,https://www.bookthesurprise.com/surprise/blow-me-send-congratulations/,1099.0,5.0,A box with a balloon inside that your loved one should pop to receive a congratulations note,blow-me-exciting-balloon-wish-cards,Balloon-Surprises,17717,comment-10563
Blow Me – Say Get Well Soon,https://www.bookthesurprise.com/blow-me-say-get-well-soon/,1099.0,5.0,A box with a balloon inside that your loved one should pop to receive a apology note,blow-me-exciting-balloon-wish-cards,Balloon-Surprises,17722,comment-10564
Exceptional Conservative Dining at MG Road,https://www.bookthesurprise.com/surprise/dinner-at-mg-road/,2849.0,5.0,"3 course meal( starter, main and dessert)",candle-light-dinner-in-bangalore,Premium-Surprises,22172,comment-17336
Scintillating Rooftop Dining at Marathahalli,https://www.bookthesurprise.com/surprise/rooftop-dinner-at-marathahalli/,2949.0,5.0,"5 course meal:Soup, Salad, Starter, Main course & Dessert",candle-light-dinner-in-bangalore,Premium-Surprises,22180,comment-17332
Exceptional Candlelight Dining by Poolside at Melange,https://www.bookthesurprise.com/surprise/poolside-dining-at-melange-astris/,3299.0,5.0,"5 course meal:(Soup, salad,starter,main, dessert)",candle-light-dinner-in-bangalore,Premium-Surprises,22153,comment-17334
Momentous Poolside Dining,https://www.bookthesurprise.com/surprise/momentous-poolside-dining/,3899.0,5.0,"3 course meal(starter, main and desert)",candle-light-dinner-in-bangalore,Premium-Surprises,22146,comment-17341
Outdoor Dinner At Miraya,https://www.bookthesurprise.com/surprise/outdoor-dinner-at-miraya/,3999.0,5.0,"A 4 course meal(soup, starter, main and dessert)",candle-light-dinner-in-bangalore,Premium-Surprises,22156,comment-17346
