ReviewDate,Comment_id,ReviewDesc,ReviewerName,Rating,product_name,Product_ids
2019-11-26,17478,"Superb cupcake
",Priyanka,5,BTS 6 Ferrero Rocher Cupcakes,22522
2019-02-18,10493,"This cake was nice and we like your service too.
",Aditi,5,BTS Dark Chocolate Magic Cake,6362
2019-03-30,10847,"I love red roses. perfect delivery. thank you team
",sandhya,5,BTS Romantic Love,15827
2019-03-27,10791,"I love the pink. it is looking very nice and perfect delivery 
",jansi,5,BTS Pretty In Pink,15868
2019-06-15,13026,"I had an amazing design and really appreciate their on-time service. Booking was easy and hassle free
",sravani,5,My Cup Of Tea,17259
2019-04-09,10954,"Such a lovely gift. I like it so much. good work BTS team
",Kushi,5,Name A Star,17753
2019-04-26,11345,"the awesome taste I never tried this before.excellent
",honey,5,BTS Chocolate Fantasy Cake,15848
2019-03-14,10666,"I love this flavour. I surprised my mother on her birthday. my family enjoyed a lot. thank you, team.
",keerthana,5,BTS Blueberry Cake,6558
2019-07-15,13540,"It is a lovely gift from my brother, a superb design
",kalyani,5,I Love My Sister T-Shirt,18700
2019-02-11,10449,"Thanks for delivering such a beautiful designer cake. Nice service.
",Harika,5,BTS Vanilla Chocolate Cake,6752
2019-07-06,13475,"I got the gift with the best design and perfect on-time delivery. Thank you so much. Good work guys.
",Rohit,5,Spin The Wheel of Fantasies,18522
2019-03-28,10819,Cheap but could be better the product ,madhuri,3,The Furry Love – Playtime With Puppies,33964
2019-03-10,10623,"I am really impressed with this delicious cake.
",indu,5,BTS Vanilla Chocolate Cake,15833
2019-06-14,12925,"I’m happy with that surprise gift . I got that  timely Thanks to the Team.
",govind,5,You Are My Soymate,17368
2019-05-18,12018,"Emojis are now very trending in express our emotions.I like very much for this idea.good work BTS team
",praveen ,5,Emoji Glow – 3D Lamp,17477
2019-04-08,10941,"I want to thank you for your delivery. I love this flavour. good job
",Yuvaansh,5,BTS Blueberry Cake,18282
2019-07-02,13460,"the surprise was excellent.we all are thrilled with that surprise.
",ravi ,5,Enchanting Candle Light Dinner,18465
2019-11-26,17466,"The flowers were so pretty. My friend loved it for whom i ordered.
",Priyanka,5,BTS Memorable Expression,15848
2019-01-05,10304,"Thanks for the quick delivery and the set was awesome.
",Ashok,5,Couple Personalized Pillow Set,17277
2019-01-10,10323,"I gifted it to my wife she feels very happy. Thanks for the quick delivery.
",Venu,5,Berry Much Love,17364
2019-01-18,10375,"Good service. Thanks for the perfect delivery.
",Preetham,5,Photo In a Jar,17409
2021-03-26,38889,"every gift is amazing
",lavanya,5,Silver Birthday Surprise,34196
2019-05-18,12005,"i kike very much this gift.Thank you BTS team for good delivery on perfect timing
",jansi j,5,Brew-Tiful Love,17266
2019-06-07,12667,"I’m happy with that surprise gift. Nice Design I got that timely Thanks to the Team.
",shiva,5,Momentous Milestones,17229
2019-04-17,11077,"We got this for a friend for her birthday. I think she loved it more than any of her other gifts. She couldn’t wait to show it to everyone.
",jay kiran,5,Jar Of Nothing,17396
2019-02-02,10433,"I didn’t expect. How beautiful it was! Thanks for explaining my name beautifully.
",Spandana,5,Your Name in Dictionary,18522
2019-07-06,13480,"It is very beautiful. Good work team. keep rocking. I surprised my fiancee on my wedding day, she felt really happy
",Aditya,5,Love Proposal Through App,18504
2018-12-17,10102,"These flowers look very pretty. Thanks for delivering fresh flowers.
",Jitendar,5,BTS Memorable Expression,15868
2019-04-22,11107," A Simple Cake was great to work with and the cakes are delicious! Our wedding cake looked exactly like the one we’d picked out on the site and was budget friendly vs many of the other wedding cake bakeries in NYC!
",kavya,5,Supreme White Delicacy,5832
2019-02-22,10536,"This frame was awesome and looks marvellous. Thanks for delivering perfectly.
",Sankeerthi,5,Mosaic Photo Art,17255
2019-04-08,10941,"The delivery was made on time, but it was delivered only a coffee grinder and not two cone made on the request, I await return ",Yuvaansh,1,BTS Blueberry Cake,15894
2019-03-21,10709,"thank you for your delivery. I love the butterscotch flavour. I surprised my brothers with this cake on his birthday
",pooja,5,BTS Butterscotch Tickle,6032
2018-12-17,10102,"These flowers look very pretty. Thanks for delivering fresh flowers.
",Jitendar,5,BTS Memorable Expression,15868
2019-11-26,17413,Fischer price doesn't miss a shot..safe and soft material.. great to calm my daughters. If I find a defect is slightly heavy but otherwise it is fabulous,Priyanka,4,Open Me – Say Miss you,17758
2019-04-22,11151,"Good product availability at reasonable prices and delivered in good time.
",naveen,5,BTS Perfect Charm Bouquet,17141
2019-11-26,17452,"It's beautiful and we love it, the bad thing is that the pile ends right away.",Priyanka,3,BTS Heart Shaped Black Forest Cake,6752
2018-12-21,10194,"Beautiful cake with awesome taste. A nice combination of vanilla with chocolate flavour we all loved it. Thank you.
",Mohin,5,BTS Vanilla Chocolate Cake,18128
2019-04-10,10984,Product of the Camelô ... 100% Paraguay  Worst purchase I've ever done on the internet.  Announcement does not match the product.  I want to return ... ,Geetha,1,Invite Pikachu At Home,17977
2018-12-06,9898,"Flowers are extremely super. We are so happy with your service. Thank you.
",sneha,5,BTS Charm,15827
2019-07-01,13408,"fantastic good gift it was.nice design 
",harsha,5,Photo Film Book,17507
2019-03-19,10699,"I love this flavour. good delivery. thank you, team.
",pavani,5,BTS Vanilla Chocolate Cake,18128
2019-04-29,11468,"super fantastic gift idea. the surprise gift was awesome I loved it
",raju,5,Blow Me – Say Get Well Soon,17722
2018-12-17,10105,The size is small and realized after the ad does not highlight the dimensions of the product. Falls short ,Preethi,1,BTS Romantic Love,15858
2019-01-29,10424,"Excellent work. Nice concept. We like this a lot.
",Smitha,5,5 Senses Gift,29155
2019-01-22,10404,It is not a good quality product. I was disappointed. ,Lavan,3,The Love Grill,17513
2019-02-12,10475,"Thanks for delivering fresh and beautiful flowers for us.
",Ratna,5,BTS Perfect Charm Bouquet,17141
2019-04-22,11121,"Most weddings I have been to the cake is very pretty but it doesn’t taste good or just so so looking..This place literally takes the cake! The cake was STUNNING to look at and was the most delicious cake I have ever had.
",sindu,5,BTS Blueberry Cake,6362
